Time,Document,Desk,DoorHandle,Hand_1,Hand_2,Mucosa_1,Mucosa_2,Air,Viral Exposure_Fomites_1,Viral Exposure_Fomites_2,Viral Exposure_CloseContact_1,Viral Exposure_CloseContact_2,Viral Exposure_Aerosol_1,Viral Exposure_Aerosol_2,Viral Exposure_Total_1,Viral Exposure_Total_2,Risk_1,Risk_2
12.7208357407787,1620500.88345547,7367893.12757614,45353.7155346146,114310.164635383,312412.153519576,429011.911982086,4000000,532322.597789096,746778.347959379,4000000,107530.334727891,4000000,61685.9126806068,4000000,915994.595367876,4000000,0.901625500423952,0.999959998046938
12.7458357407787,1638896.04446102,7460507.44956287,45772.9621216412,114799.79778202,314401.760661124,428382.03621541,4000000,532322.599424908,747615.134408963,4000000,107742.774727891,4000000,61815.6663140183,4000000,917173.575450872,4000000,0.901918686902911,0.999959998046938
12.7708357407787,1657304.32553681,7552997.73452105,46193.8736643963,115306.156510534,316315.414037162,427758.25404921,4000000,532322.601009454,748455.559286798,4000000,107955.214727891,4000000,61945.4199478223,4000000,918356.193962511,4000000,0.902211900346394,0.999959998046938
12.7958357407787,1675724.25797611,7645362.52753324,46616.3911018385,115828.145121351,318157.867342163,427140.659548146,4000000,532322.602544339,749299.740712435,4000000,108167.654727891,4000000,62075.1735820064,4000000,919542.569022332,4000000,0.902505164434736,0.999959998046938
12.8208357407787,1694154.46524505,7737600.48265897,47040.4589341264,116364.736553195,319933.572564312,426529.338689369,4000000,532322.604031122,750147.789069532,4000000,108380.094727891,4000000,62204.9272165587,4000000,920732.811013982,4000000,0.902798500609599,0.999959998046938
12.8458357407787,1712593.6572441,7829710.35611326,47466.0250010813,116914.968178395,321646.698726362,425924.36986665,4000000,532322.605471309,750999.807479853,4000000,108592.534727891,4000000,62334.6808514677,4000000,921927.023059212,4000000,0.903091928218989,0.999959998046938
12.8708357407787,1731040.62486529,7921690.99979926,47893.0402721157,117477.937811655,323301.149652466,425325.824368636,4000000,532322.60686636,751855.892253151,4000000,108804.974727891,4000000,62464.4344867223,4000000,923125.301467764,4000000,0.903385464654238,0.999959998046938
12.8958357407787,1749494.23481565,8013541.35515469,48321.4586464419,118052.799910057,324900.580866909,424733.766834057,4000000,532322.608217691,752716.133315475,4000000,109017.414727891,4000000,62594.1881223115,4000000,924327.736165678,4000000,0.903679125479716,0.999959998046938
12.9208357407787,1767953.42475377,8105260.44736839,48751.2367653464,118638.761998155,326448.415478859,424148.255679975,4000000,532322.60952667,753580.614612105,4000000,109229.854727891,4000000,62723.941758225,4000000,925534.41109822,4000000,0.90397292455446,0.999959998046938
12.9458357407787,1786417.19875477,8196847.37998749,49182.3338371263,119235.081329932,327947.859002174,423569.343501678,4000000,532322.610794627,754449.41448379,4000000,109442.294727891,4000000,62853.6953944524,4000000,926745.404606133,4000000,0.904266874145549,0.999959998046938
12.9708357407787,1804884.62307932,8288301.32988686,49614.7114737642,119841.061770777,329401.913185375,422997.07744618,4000000,532322.612022845,755322.606018192,4000000,109654.734727891,4000000,62983.4490309841,4000000,927960.789777066,4000000,0.904560985033824,0.999959998046938
12.9958357407787,1823354.82221413,8379621.54256195,50048.3335380898,120456.050876306,330813.38895596,422431.499562085,4000000,532322.613212572,756200.257379126,4000000,109867.174727891,4000000,63113.2026678105,4000000,929180.634774827,4000000,0.904855266612706,0.999959998046938
13.0208357407787,1841826.97516127,8470807.32771731,50483.1660005495,121079.437151606,332184.918553675,421872.647127799,4000000,532322.614365012,757082.432115468,4000000,110079.614727891,4000000,63242.9563049222,4000000,930405.003148281,4000000,0.905149726980687,0.999959998046938
